Write an email
go to the living room,find the computer,took the chair and place the chair to in front of the computer,sat on the chair,switch on the computer,open the email,and compose a new mail


[WALK] <home_office> (1.246)
[WALK] <computer> (1.321)
[FIND] <computer> (1.321)
[TURNTO] <computer> (1.321)
[LOOKAT] <computer> (1.321)
[FIND] <chair> (1.283)
[SIT] <chair> (1.283)
[SWITCHON] <computer> (1.321)
[TURNTO] <computer> (1.321)
[FIND] <mouse> (1.318)
[TURNTO] <mouse> (1.318)
[POINTAT] <mouse> (1.318)
